Time,Source,Destination,Length,data len
4.251753s,10.2.2.1,10.1.2.1,62,
4.251871s,10.1.2.1,10.2.2.1,1502,1428
4.251991s,10.1.2.1,10.2.2.1,1502,1428
4.251993s,10.2.2.1,10.1.2.1,62,
4.252111s,10.1.2.1,10.2.2.1,1502,1428
4.252231s,10.1.2.1,10.2.2.1,1502,1428
4.252234s,10.2.2.1,10.1.2.1,62,
4.252351s,10.1.2.1,10.2.2.1,1502,1428
4.252472s,10.1.2.1,10.2.2.1,1502,1428
4.252474s,10.2.2.1,10.1.2.1,62,
4.252592s,10.1.2.1,10.2.2.1,1502,1428
4.252712s,10.1.2.1,10.2.2.1,1502,1428
4.252714s,10.2.2.1,10.1.2.1,62,
4.252832s,10.1.2.1,10.2.2.1,1502,1428
4.252952s,10.1.2.1,10.2.2.1,1502,1428
4.252954s,10.2.2.1,10.1.2.1,62,
4.253072s,10.1.2.1,10.2.2.1,1502,1428
4.253192s,10.1.2.1,10.2.2.1,1502,1428
4.253195s,10.2.2.1,10.1.2.1,62,
4.253313s,10.1.2.1,10.2.2.1,1502,1428
4.253433s,10.1.2.1,10.2.2.1,1502,1428
4.253435s,10.2.2.1,10.1.2.1,62,
4.253553s,10.1.2.1,10.2.2.1,1502,1428
